segment_id
5G21A6P09L4100103:1728407846:1728407866
5G21A6P09L4100103:1728409004:1728409024
5G21A6P09L4100103:1728409369:1728409389
5G21A6P09L4100103:1728409597:1728409617
5G21A6P09L4100103:1728403344:1728403364
5G21A6P09L4100103:1728401359:1728401379
5G21A6P09L4100103:1728400848:1728400868
5G21A6P09L4100103:1728400573:1728400593
5G21A6P09L4100103:1728403740:1728403760
5G21A6P09L4100103:1728403947:1728403967
5G21A6P09L4100103:1728404615:1728404635
5G21A6P09L4100103:1728404785:1728404805
5G21A6P09L4100103:1728405592:1728405612
5G21A6P09L4100103:1728405919:1728405939
5G21A6P09L4100103:1728406074:1728406094
5G21A6P09L4100103:1728406195:1728406215
